topology,scenario,rate,run,Node,role,InInterests_pre,OutInterests_pre,InData_pre,cache_hit_ratio_pre,satisfaction_ratio_pre,timeout_ratio_pre,nack_ratio_pre,interest_amp_pre,data_ratio_pre,InInterests_atk,OutInterests_atk,InData_atk,cache_hit_ratio_atk,satisfaction_ratio_atk,timeout_ratio_atk,nack_ratio_atk,interest_amp_atk,data_ratio_atk
tree,ifa,12.0,3,1,router,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0,0.9733333333333334,0.8,0.0,1.0,0.9733333333333334,0.013377926421404762,0.013377926421404762,2.661263009623616e-207,0.0,0.010861601455394908,0.9968784838350055,0.0,1.0,0.0033444816053511705
tree,ifa,12.0,3,2,router,0.66666665923766,0.33666669707083335,0.33666669707083335,0.07221741741199869,0.019886218708977346,0.6066781829776281,0.0,0.01940484669074879,1.0,11.996627090301004,11.996628093645484,1.8285428717390967e-204,0.0,0.00029530807541793284,0.956892150664935,0.0,1.0000000842155403,1.6145506129735178e-205
tree,ifa,12.0,3,3,router,0.99999988454307,0.3333333398213754,0.3333333398213754,0.14567678503376444,0.018811106172853746,0.6166709743295886,0.0,0.018447402829188816,1.0,11.996627090301004,11.996627090301004,5.207946948080263e-201,0.0,0.00029530807541793284,0.956892150664935,0.0,1.0,4.598466734304394e-202
tree,ifa,12.0,3,4,router,0.6666665936093982,0.33333331941628447,0.33333331941628447,0.1395030291769422,0.07061814514336238,0.6040289278001503,0.0,0.06994726341347562,1.0,2.2048636648086874e-151,9.236074335271697e-167,9.236074335271697e-167,0.0,0.8394648829431438,0.8394648829431438,0.0,0.16053511705685652,0.7658862876254181
tree,ifa,12.0,3,5,router,0.6666665710334964,0.33333332874536575,0.33333332874536575,0.12274884978145849,0.06173888575305771,0.2572183669462852,0.0,0.06125374406774221,1.0,3.4731049409740004e-82,1.515171532989925e-176,1.515171532989925e-176,0.0,1.0,1.0,0.0,3.137898778738155e-95,0.7190635451505016
tree,ifa,12.0,3,6,attacker,9.988333299999999,0.33000003359633345,0.3333333335963335,0.9654545454545455,0.034517947395576565,0.0013333333333333335,0.0,0.03400766772482168,1.0,21.996655551839464,11.996655183946487,4.801212408489544e-166,0.45387567693805875,0.000783984032862074,0.5420965753088213,0.0,0.5453832581471647,4.238646912908147e-167
tree,ifa,12.0,3,7,benign_consumer,9.988333299999999,0.3299999222013707,0.33333322220137074,0.9654242424242424,0.034512251182961945,0.0013333333333333335,0.0,0.03400197151220705,1.0,10.0,9.454724204418862e-174,9.454724204418862e-174,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,9.454724204418862e-175,0.7324414715719063
tree,ifa,12.0,3,8,benign_consumer,9.988333299999999,0.3299999482356815,0.3333332482356815,0.9654545454545455,0.03449719562680042,0.0013333333333333335,0.0,0.03398691595604553,1.0,10.0,2.201341514678591e-151,2.201341514678591e-151,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,2.2013415146785912e-152,0.8394648829431438
tree,ifa,12.0,3,9,benign_consumer,9.988333299999999,0.33000001204038326,0.3333333453737166,0.9654848484848484,0.03432635699093721,0.0013333333333333335,0.0,0.0341164880399663,1.0,10.0,3.5221501300962835e-154,3.5221501300962835e-154,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,3.522150130096284e-155,0.8260869565217391
tree,ifa,12.0,3,10,benign_consumer,9.988333299999999,0.330000009860751,0.333333309860751,0.9654545454545455,0.03454658494699622,0.0013333333333333335,0.0,0.03403630527624134,1.0,10.0,1.0750124624992137e-143,1.0750124624992137e-143,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,1.0750124624992136e-144,0.8762541806020067
tree,ifa,12.0,3,11,benign_consumer,9.988333299999999,0.3299999278394121,0.3333332611727454,0.9654545454545455,0.03429686092290445,0.0013333333333333335,0.0,0.034086991971933545,1.0,10.0,3.4731049409740004e-82,3.4731049409740004e-82,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,3.473104940974001e-83,1.0
tree,ifa,12.0,4,0,router,0.33333331781753334,0.33333331781753334,0.33333331781753334,0.0,1.0,0.8033333333333333,0.0,1.0,1.0,11.98325016722408,11.98325016722408,1.6243061462822033e-197,0.0,0.0003073236405224796,0.9569028424912213,0.0,1.0,1.4925711513021482e-198
tree,ifa,12.0,4,1,router,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.013377926421404762,0.013377926421404762,0.0,0.0,0.007517119850043738,0.9935340022296544,0.0,1.0,0.0
tree,ifa,12.0,4,2,router,0.6666667601744584,0.33333331781753334,0.33333331781753334,0.06552538300942556,0.024293808130713912,0.8,0.0,0.02399515216699633,1.0,11.996627090301004,11.996628093645484,1.6243061462822033e-197,0.0,0.00029530807541793284,0.956892150664935,0.0,1.0000000842155403,1.4342154510677496e-198
tree,ifa,12.0,4,3,router,1.0000000557964432,0.3333333557915875,0.3333333557915875,0.1631803545038839,0.02265663598671175,0.6079889987347289,0.0,0.022277190061396068,1.0,11.996627090301004,11.996627090301004,1.5490590259247076e-183,0.0,0.00029530807541793284,0.956892150664935,0.0,1.0,1.3677744352364866e-184
